UTC time,coal,nat_gas,oil,hydro,solar,wind,other
2023-07-17 00:00:00,0.0,1019.0,0.0,135.0,41.0,25.0,14.0
2023-07-17 01:00:00,0.0,1020.0,0.0,135.0,133.0,25.0,13.0
2023-07-17 02:00:00,0.0,1025.0,0.0,128.0,271.0,25.0,10.0
2023-07-17 03:00:00,0.0,1033.0,0.0,46.0,288.0,25.0,5.0
2023-07-17 04:00:00,0.0,1040.0,0.0,32.0,288.0,24.0,0.0
2023-07-17 05:00:00,0.0,1033.0,0.0,31.0,292.0,25.0,0.0
2023-07-17 06:00:00,0.0,966.0,0.0,32.0,318.0,21.0,0.0
2023-07-17 07:00:00,0.0,959.0,0.0,27.0,320.0,22.0,0.0
2023-07-17 08:00:00,0.0,943.0,0.0,28.0,346.0,20.0,0.0
2023-07-17 09:00:00,0.0,942.0,0.0,28.0,355.0,23.0,0.0
2023-07-17 10:00:00,0.0,945.0,0.0,28.0,341.0,24.0,0.0
2023-07-17 11:00:00,0.0,946.0,0.0,29.0,355.0,24.0,0.0
2023-07-17 12:00:00,0.0,949.0,0.0,27.0,350.0,22.0,0.0
2023-07-17 13:00:00,0.0,949.0,0.0,28.0,338.0,22.0,0.0
2023-07-17 14:00:00,0.0,949.0,0.0,26.0,335.0,25.0,3.0
2023-07-17 15:00:00,0.0,950.0,0.0,25.0,341.0,27.0,6.0
2023-07-17 16:00:00,0.0,964.0,0.0,28.0,346.0,26.0,9.0
2023-07-17 17:00:00,0.0,965.0,0.0,25.0,336.0,27.0,10.0
2023-07-17 18:00:00,0.0,962.0,0.0,27.0,344.0,26.0,10.0
2023-07-17 19:00:00,0.0,954.0,0.0,26.0,344.0,27.0,10.0
2023-07-17 20:00:00,0.0,954.0,0.0,25.0,346.0,28.0,10.0
2023-07-17 21:00:00,0.0,947.0,0.0,26.0,328.0,27.0,10.0
2023-07-17 22:00:00,0.0,949.0,0.0,28.0,334.0,27.0,10.0
2023-07-17 23:00:00,0.0,944.0,0.0,128.0,348.0,27.0,10.0
