Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,other
36000,2023-02-09 00:00:00,2024-07-17 00:00:00,3.1,286.63,0.0,488.0,0.0,79.0,46.0,26.0,9.0
36001,2023-02-09 01:00:00,2024-07-17 00:00:00,3.1,279.68,0.0,498.0,0.0,123.0,16.0,25.0,3.0
36002,2023-02-09 02:00:00,2024-07-17 00:00:00,3.1,268.56,0.0,503.0,0.0,128.0,36.0,26.0,0.0
36003,2023-02-09 03:00:00,2024-07-17 00:00:00,3.1,255.49,0.0,502.0,0.0,127.0,71.0,27.0,0.0
36004,2023-02-09 04:00:00,2024-07-17 00:00:00,3.1,250.66,0.0,502.0,0.0,127.0,85.0,27.0,0.0
36005,2023-02-09 05:00:00,2024-07-17 00:00:00,3.1,256.55,0.0,502.0,0.0,125.0,70.0,27.0,0.0
36006,2023-02-09 06:00:00,2024-07-17 00:00:00,3.1,249.49,0.0,501.0,0.0,126.0,89.0,27.0,0.0
36007,2023-02-09 07:00:00,2024-07-17 00:00:00,3.1,247.32,0.0,504.0,0.0,126.0,97.0,27.0,0.0
36008,2023-02-09 08:00:00,2024-07-17 00:00:00,3.1,253.21,0.0,503.0,0.0,120.0,87.0,25.0,0.0
36009,2023-02-09 09:00:00,2024-07-17 00:00:00,3.1,269.09,0.0,504.0,0.0,79.0,84.0,26.0,0.0
36010,2023-02-09 10:00:00,2024-07-17 00:00:00,3.1,263.91,0.0,505.0,0.0,75.0,102.0,26.0,0.0
36011,2023-02-09 11:00:00,2024-07-17 00:00:00,3.1,267.93,0.0,504.0,0.0,74.0,91.0,27.0,0.0
36012,2023-02-09 12:00:00,2024-07-17 00:00:00,3.1,280.0,0.0,504.0,0.0,72.0,63.0,27.0,0.0
36013,2023-02-09 13:00:00,2024-07-17 00:00:00,3.1,282.97,0.0,504.0,0.0,73.0,56.0,26.0,0.0
36014,2023-02-09 14:00:00,2024-07-17 00:00:00,3.1,283.4,0.0,504.0,0.0,70.0,58.0,26.0,0.0
36015,2023-02-09 15:00:00,2024-07-17 00:00:00,3.1,286.89,0.0,504.0,0.0,72.0,47.0,27.0,0.0
36016,2023-02-09 16:00:00,2024-07-17 00:00:00,3.1,278.89,0.0,502.0,0.0,70.0,67.0,27.0,0.0
36017,2023-02-09 17:00:00,2024-07-17 00:00:00,3.1,272.52,0.0,502.0,0.0,71.0,86.0,27.0,4.0
36018,2023-02-09 18:00:00,2024-07-17 00:00:00,3.1,266.61,0.0,503.0,0.0,71.0,104.0,27.0,6.0
36019,2023-02-09 19:00:00,2024-07-17 00:00:00,3.1,271.96,0.0,502.0,0.0,71.0,93.0,27.0,9.0
36020,2023-02-09 20:00:00,2024-07-17 00:00:00,3.1,269.02,0.0,496.0,0.0,69.0,97.0,27.0,6.0
36021,2023-02-09 21:00:00,2024-07-17 00:00:00,3.1,262.91,0.0,476.0,0.0,71.0,101.0,29.0,6.0
36022,2023-02-09 22:00:00,2024-07-17 00:00:00,3.1,261.22,0.0,462.0,0.0,70.0,105.0,27.0,8.0
36023,2023-02-09 23:00:00,2024-07-17 00:00:00,3.1,240.99,0.0,449.0,0.0,111.0,118.0,28.0,12.0
