UTC time,coal,nat_gas,oil,hydro,solar,wind,other
2023-02-16 00:00:00,0.0,401.0,0.0,58.0,95.0,28.0,10.0
2023-02-16 01:00:00,0.0,511.0,0.0,97.0,67.0,27.0,3.0
2023-02-16 02:00:00,0.0,564.0,0.0,111.0,66.0,26.0,0.0
2023-02-16 03:00:00,0.0,563.0,0.0,111.0,95.0,27.0,0.0
2023-02-16 04:00:00,0.0,564.0,0.0,104.0,103.0,27.0,0.0
2023-02-16 05:00:00,0.0,564.0,0.0,54.0,90.0,27.0,0.0
2023-02-16 06:00:00,0.0,563.0,0.0,56.0,94.0,26.0,0.0
2023-02-16 07:00:00,0.0,565.0,0.0,57.0,86.0,27.0,0.0
2023-02-16 08:00:00,0.0,565.0,0.0,55.0,90.0,27.0,0.0
2023-02-16 09:00:00,0.0,585.0,0.0,53.0,78.0,27.0,0.0
2023-02-16 10:00:00,0.0,603.0,0.0,55.0,73.0,26.0,0.0
2023-02-16 11:00:00,0.0,604.0,0.0,53.0,58.0,27.0,0.0
2023-02-16 12:00:00,0.0,604.0,0.0,54.0,62.0,27.0,0.0
2023-02-16 13:00:00,0.0,604.0,0.0,105.0,69.0,27.0,0.0
2023-02-16 14:00:00,0.0,606.0,0.0,107.0,87.0,27.0,0.0
2023-02-16 15:00:00,0.0,604.0,0.0,107.0,103.0,27.0,0.0
2023-02-16 16:00:00,0.0,603.0,0.0,107.0,95.0,26.0,0.0
2023-02-16 17:00:00,0.0,603.0,0.0,106.0,91.0,27.0,4.0
2023-02-16 18:00:00,0.0,605.0,0.0,107.0,82.0,26.0,4.0
2023-02-16 19:00:00,0.0,600.0,0.0,108.0,73.0,26.0,6.0
2023-02-16 20:00:00,0.0,603.0,0.0,105.0,71.0,27.0,6.0
2023-02-16 21:00:00,0.0,634.0,0.0,109.0,70.0,27.0,6.0
2023-02-16 22:00:00,0.0,636.0,0.0,104.0,49.0,27.0,7.0
2023-02-16 23:00:00,0.0,603.0,0.0,108.0,28.0,28.0,9.0
