Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,other
37056,2023-03-25 00:00:00,2024-07-17 00:00:00,3.1,318.91,0.0,732.0,0.0,59.0,377.0,26.0,9.0
37057,2023-03-25 01:00:00,2024-07-17 00:00:00,3.1,320.73,0.0,740.0,0.0,62.0,371.0,27.0,10.0
37058,2023-03-25 02:00:00,2024-07-17 00:00:00,3.1,339.88,0.0,894.0,0.0,61.0,362.0,26.0,1.0
37059,2023-03-25 03:00:00,2024-07-17 00:00:00,3.1,344.53,0.0,927.0,0.0,59.0,357.0,27.0,0.0
37060,2023-03-25 04:00:00,2024-07-17 00:00:00,3.1,341.15,0.0,924.0,0.0,61.0,369.0,27.0,0.0
37061,2023-03-25 05:00:00,2024-07-17 00:00:00,3.1,341.15,0.0,908.0,0.0,62.0,361.0,26.0,0.0
37062,2023-03-25 06:00:00,2024-07-17 00:00:00,3.1,341.47,0.0,911.0,0.0,61.0,361.0,27.0,0.0
37063,2023-03-25 07:00:00,2024-07-17 00:00:00,3.1,342.45,0.0,908.0,0.0,61.0,355.0,27.0,0.0
37064,2023-03-25 08:00:00,2024-07-17 00:00:00,3.1,349.11,0.0,965.0,0.0,60.0,354.0,26.0,0.0
37065,2023-03-25 09:00:00,2024-07-17 00:00:00,3.1,351.29,0.0,983.0,0.0,61.0,350.0,27.0,0.0
37066,2023-03-25 10:00:00,2024-07-17 00:00:00,3.1,353.43,0.0,985.0,0.0,61.0,341.0,27.0,0.0
37067,2023-03-25 11:00:00,2024-07-17 00:00:00,3.1,365.71,0.0,985.0,0.0,61.0,288.0,26.0,0.0
37068,2023-03-25 12:00:00,2024-07-17 00:00:00,3.1,371.68,0.0,985.0,0.0,60.0,262.0,28.0,0.0
37069,2023-03-25 13:00:00,2024-07-17 00:00:00,3.1,372.7,0.0,982.0,0.0,61.0,259.0,25.0,0.0
37070,2023-03-25 14:00:00,2024-07-17 00:00:00,3.1,380.65,0.0,983.0,0.0,58.0,230.0,26.0,0.0
37071,2023-03-25 15:00:00,2024-07-17 00:00:00,3.1,376.96,0.0,953.0,0.0,110.0,180.0,25.0,0.0
37072,2023-03-25 16:00:00,2024-07-17 00:00:00,3.1,372.49,0.0,955.0,0.0,157.0,151.0,25.0,3.0
37073,2023-03-25 17:00:00,2024-07-17 00:00:00,3.1,383.84,0.0,983.0,0.0,159.0,120.0,25.0,9.0
37074,2023-03-25 18:00:00,2024-07-17 00:00:00,3.1,399.22,0.0,983.0,0.0,156.0,72.0,25.0,15.0
37075,2023-03-25 19:00:00,2024-07-17 00:00:00,3.1,430.09,0.0,958.0,0.0,87.0,35.0,25.0,7.0
37076,2023-03-25 20:00:00,2024-07-17 00:00:00,3.1,445.16,0.0,931.0,0.0,59.0,20.0,24.0,6.0
37077,2023-03-25 21:00:00,2024-07-17 00:00:00,3.1,447.65,0.0,966.0,0.0,57.0,20.0,24.0,7.0
37078,2023-03-25 22:00:00,2024-07-17 00:00:00,3.1,443.33,0.0,984.0,0.0,56.0,35.0,25.0,9.0
37079,2023-03-25 23:00:00,2024-07-17 00:00:00,3.1,444.65,0.0,982.0,0.0,58.0,32.0,24.0,12.0
