Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,other
39240,2023-06-24 00:00:00,2024-07-17 00:00:00,3.1,232.62,0.0,643.0,0.0,153.0,214.0,26.0,9.0
39241,2023-06-24 01:00:00,2024-07-17 00:00:00,3.1,219.32,0.0,589.0,0.0,156.0,234.0,26.0,7.0
39242,2023-06-24 02:00:00,2024-07-17 00:00:00,3.1,207.54,0.0,557.0,0.0,152.0,258.0,26.0,0.0
39243,2023-06-24 03:00:00,2024-07-17 00:00:00,3.1,201.06,0.0,575.0,0.0,153.0,305.0,27.0,1.0
39244,2023-06-24 04:00:00,2024-07-17 00:00:00,3.1,217.86,0.0,610.0,0.0,155.0,246.0,25.0,0.0
39245,2023-06-24 05:00:00,2024-07-17 00:00:00,3.1,220.07,0.0,546.0,0.0,153.0,192.0,27.0,0.0
39246,2023-06-24 06:00:00,2024-07-17 00:00:00,3.1,243.7,0.0,521.0,0.0,140.0,104.0,26.0,0.0
39247,2023-06-24 07:00:00,2024-07-17 00:00:00,3.1,268.02,0.0,523.0,0.0,45.0,126.0,28.0,0.0
39248,2023-06-24 08:00:00,2024-07-17 00:00:00,3.1,260.09,0.0,523.0,0.0,44.0,150.0,27.0,0.0
39249,2023-06-24 09:00:00,2024-07-17 00:00:00,3.1,259.95,0.0,522.0,0.0,45.0,149.0,27.0,0.0
39250,2023-06-24 10:00:00,2024-07-17 00:00:00,3.1,244.5,0.0,526.0,0.0,47.0,196.0,27.0,0.0
39251,2023-06-24 11:00:00,2024-07-17 00:00:00,3.1,248.86,0.0,530.0,0.0,44.0,187.0,27.0,0.0
39252,2023-06-24 12:00:00,2024-07-17 00:00:00,3.1,263.36,0.0,531.0,0.0,45.0,142.0,28.0,0.0
39253,2023-06-24 13:00:00,2024-07-17 00:00:00,3.1,284.2,0.0,530.0,0.0,43.0,90.0,27.0,0.0
39254,2023-06-24 14:00:00,2024-07-17 00:00:00,3.1,284.62,0.0,513.0,0.0,43.0,90.0,26.0,5.0
39255,2023-06-24 15:00:00,2024-07-17 00:00:00,3.1,279.38,0.0,405.0,0.0,44.0,71.0,28.0,11.0
39256,2023-06-24 16:00:00,2024-07-17 00:00:00,3.1,284.84,0.0,367.0,0.0,43.0,56.0,26.0,15.0
39257,2023-06-24 17:00:00,2024-07-17 00:00:00,3.1,279.19,0.0,317.0,0.0,43.0,49.0,27.0,15.0
39258,2023-06-24 18:00:00,2024-07-17 00:00:00,3.1,315.74,0.0,452.0,0.0,44.0,19.0,27.0,15.0
39259,2023-06-24 19:00:00,2024-07-17 00:00:00,3.1,306.42,0.0,462.0,0.0,42.0,40.0,27.0,15.0
39260,2023-06-24 20:00:00,2024-07-17 00:00:00,3.1,307.02,0.0,462.0,0.0,43.0,37.0,27.0,14.0
39261,2023-06-24 21:00:00,2024-07-17 00:00:00,3.1,319.71,0.0,463.0,0.0,41.0,17.0,26.0,14.0
39262,2023-06-24 22:00:00,2024-07-17 00:00:00,3.1,318.58,0.0,468.0,0.0,43.0,16.0,27.0,13.0
39263,2023-06-24 23:00:00,2024-07-17 00:00:00,3.1,332.84,0.0,587.0,0.0,41.0,8.0,26.0,13.0
