Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,other
37704,2023-04-21 00:00:00,2024-07-17 00:00:00,3.1,363.12,0.0,528.0,0.0,61.0,119.0,24.0,0.0
37705,2023-04-21 01:00:00,2024-07-17 00:00:00,3.1,363.27,0.0,529.0,0.0,60.0,119.0,25.0,0.0
37706,2023-04-21 02:00:00,2024-07-17 00:00:00,3.1,355.92,0.0,529.0,0.0,83.0,114.0,23.0,0.0
37707,2023-04-21 03:00:00,2024-07-17 00:00:00,3.1,354.25,0.0,530.0,0.0,74.0,127.0,24.0,0.0
37708,2023-04-21 04:00:00,2024-07-17 00:00:00,3.1,317.59,0.0,529.0,0.0,162.0,132.0,25.0,0.0
37709,2023-04-21 05:00:00,2024-07-17 00:00:00,3.1,318.66,0.0,529.0,0.0,161.0,132.0,23.0,0.0
37710,2023-04-21 06:00:00,2024-07-17 00:00:00,3.1,321.21,0.0,529.0,0.0,162.0,122.0,24.0,0.0
37711,2023-04-21 07:00:00,2024-07-17 00:00:00,3.1,340.27,0.0,530.0,0.0,153.0,77.0,25.0,0.0
37712,2023-04-21 08:00:00,2024-07-17 00:00:00,3.1,374.57,0.0,532.0,0.0,62.0,95.0,23.0,0.0
37713,2023-04-21 09:00:00,2024-07-17 00:00:00,3.1,364.28,0.0,530.0,0.0,63.0,115.0,24.0,0.0
37714,2023-04-21 10:00:00,2024-07-17 00:00:00,3.1,343.71,0.0,533.0,0.0,61.0,169.0,24.0,0.0
37715,2023-04-21 11:00:00,2024-07-17 00:00:00,3.1,305.07,0.0,532.0,0.0,64.0,282.0,24.0,0.0
37716,2023-04-21 12:00:00,2024-07-17 00:00:00,3.1,274.04,0.0,531.0,0.0,65.0,401.0,25.0,0.0
37717,2023-04-21 13:00:00,2024-07-17 00:00:00,3.1,267.18,0.0,530.0,0.0,62.0,436.0,24.0,0.0
37718,2023-04-21 14:00:00,2024-07-17 00:00:00,3.1,266.66,0.0,533.0,0.0,64.0,437.0,26.0,0.0
37719,2023-04-21 15:00:00,2024-07-17 00:00:00,3.1,273.22,0.0,530.0,0.0,62.0,407.0,25.0,0.0
37720,2023-04-21 16:00:00,2024-07-17 00:00:00,3.1,273.38,0.0,529.0,0.0,63.0,411.0,24.0,3.0
37721,2023-04-21 17:00:00,2024-07-17 00:00:00,3.1,270.51,0.0,529.0,0.0,62.0,429.0,24.0,5.0
37722,2023-04-21 18:00:00,2024-07-17 00:00:00,3.1,276.82,0.0,528.0,0.0,64.0,401.0,24.0,7.0
37723,2023-04-21 19:00:00,2024-07-17 00:00:00,3.1,293.34,0.0,528.0,0.0,65.0,340.0,24.0,12.0
37724,2023-04-21 20:00:00,2024-07-17 00:00:00,3.1,324.19,0.0,528.0,0.0,63.0,238.0,25.0,15.0
37725,2023-04-21 21:00:00,2024-07-17 00:00:00,3.1,359.71,0.0,524.0,0.0,63.0,135.0,25.0,12.0
37726,2023-04-21 22:00:00,2024-07-17 00:00:00,3.1,360.55,0.0,525.0,0.0,65.0,128.0,26.0,10.0
37727,2023-04-21 23:00:00,2024-07-17 00:00:00,3.1,348.38,0.0,525.0,0.0,64.0,157.0,26.0,8.0
