Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
39288,2023-06-26 00:00:00,2024-07-17 00:00:00,3.1,337.83,24463.0,33364.0,11571.0,2172.0,1064.0,19383.0,631.0
39289,2023-06-26 01:00:00,2024-07-17 00:00:00,3.1,344.37,24377.0,32822.0,11594.0,1283.0,417.0,18992.0,630.0
39290,2023-06-26 02:00:00,2024-07-17 00:00:00,3.1,352.75,23884.0,31908.0,11612.0,1118.0,33.0,16780.0,648.0
39291,2023-06-26 03:00:00,2024-07-17 00:00:00,3.1,363.45,24217.0,30224.0,11628.0,707.0,1.0,15015.0,659.0
39292,2023-06-26 04:00:00,2024-07-17 00:00:00,3.1,359.87,23095.0,27196.0,11646.0,567.0,1.0,14624.0,657.0
39293,2023-06-26 05:00:00,2024-07-17 00:00:00,3.1,342.45,20624.0,24675.0,11648.0,556.0,1.0,15348.0,620.0
39294,2023-06-26 06:00:00,2024-07-17 00:00:00,3.1,323.31,18077.0,22637.0,11668.0,556.0,1.0,15928.0,600.0
39295,2023-06-26 07:00:00,2024-07-17 00:00:00,3.1,312.15,16280.0,21930.0,11673.0,597.0,1.0,15654.0,597.0
39296,2023-06-26 08:00:00,2024-07-17 00:00:00,3.1,305.49,15188.0,21633.0,11672.0,599.0,1.0,15416.0,592.0
39297,2023-06-26 09:00:00,2024-07-17 00:00:00,3.1,304.39,14913.0,21289.0,11672.0,603.0,1.0,15159.0,591.0
39298,2023-06-26 10:00:00,2024-07-17 00:00:00,3.1,310.91,15479.0,22045.0,11690.0,609.0,1.0,14759.0,602.0
39299,2023-06-26 11:00:00,2024-07-17 00:00:00,3.1,325.56,17065.0,23588.0,11701.0,625.0,4.0,14134.0,616.0
39300,2023-06-26 12:00:00,2024-07-17 00:00:00,3.1,336.45,18485.0,24984.0,11703.0,645.0,178.0,13679.0,625.0
39301,2023-06-26 13:00:00,2024-07-17 00:00:00,3.1,348.63,20168.0,26434.0,11704.0,655.0,653.0,12813.0,628.0
39302,2023-06-26 14:00:00,2024-07-17 00:00:00,3.1,356.97,21695.0,27962.0,11694.0,665.0,1073.0,12472.0,636.0
39303,2023-06-26 15:00:00,2024-07-17 00:00:00,3.1,356.11,22172.0,29431.0,11686.0,680.0,1461.0,12862.0,640.0
39304,2023-06-26 16:00:00,2024-07-17 00:00:00,3.1,363.09,23714.0,31318.0,11683.0,680.0,1650.0,12874.0,632.0
39305,2023-06-26 17:00:00,2024-07-17 00:00:00,3.1,364.27,24481.0,32825.0,11692.0,841.0,1577.0,13373.0,642.0
39306,2023-06-26 18:00:00,2024-07-17 00:00:00,3.1,363.57,25073.0,33596.0,11691.0,1437.0,1674.0,13502.0,639.0
39307,2023-06-26 19:00:00,2024-07-17 00:00:00,3.1,368.89,25858.0,35078.0,11689.0,1689.0,1667.0,12833.0,637.0
39308,2023-06-26 20:00:00,2024-07-17 00:00:00,3.1,371.98,26553.0,35787.0,11688.0,2390.0,1630.0,12149.0,639.0
39309,2023-06-26 21:00:00,2024-07-17 00:00:00,3.1,372.7,26756.0,36689.0,11687.0,2795.0,1580.0,11825.0,642.0
39310,2023-06-26 22:00:00,2024-07-17 00:00:00,3.1,374.28,26759.0,37521.0,11678.0,2965.0,1467.0,11385.0,646.0
39311,2023-06-26 23:00:00,2024-07-17 00:00:00,3.1,380.16,27266.0,38970.0,11674.0,3062.0,1200.0,10597.0,649.0
