,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
0,2023-09-06 00:00:00,2023-09-08 18:25:38,3.0,652.01,2444.0,702.0,0.0,86.0,7.0,69.0
1,2023-09-06 01:00:00,2023-09-08 18:25:38,3.0,655.69,2435.0,706.0,0.0,71.0,0.0,71.0
2,2023-09-06 02:00:00,2023-09-08 18:25:38,3.0,663.72,2360.0,591.0,0.0,72.0,0.0,66.0
3,2023-09-06 03:00:00,2023-09-08 18:25:38,3.0,675.04,2164.0,545.0,0.0,16.0,0.0,68.0
4,2023-09-06 04:00:00,2023-09-08 18:25:38,3.0,665.51,1786.0,548.0,0.0,1.0,0.0,68.0
5,2023-09-06 05:00:00,2023-09-08 18:25:38,3.0,661.48,1694.0,547.0,0.0,2.0,0.0,71.0
6,2023-09-06 06:00:00,2023-09-08 18:25:38,3.0,651.8,1490.0,551.0,0.0,1.0,0.0,69.0
7,2023-09-06 07:00:00,2023-09-08 18:25:38,3.0,651.02,1481.0,551.0,0.0,2.0,0.0,69.0
8,2023-09-06 08:00:00,2023-09-08 18:25:38,3.0,651.15,1479.0,549.0,0.0,2.0,0.0,70.0
9,2023-09-06 09:00:00,2023-09-08 18:25:38,3.0,647.61,1415.0,554.0,0.0,0.0,0.0,72.0
10,2023-09-06 10:00:00,2023-09-08 18:25:38,3.0,642.13,1332.0,554.0,0.0,2.0,0.0,74.0
11,2023-09-06 11:00:00,2023-09-08 18:25:38,3.0,646.34,1409.0,556.0,0.0,2.0,0.0,73.0
12,2023-09-06 12:00:00,2023-09-08 18:25:38,3.0,641.23,1415.0,556.0,0.0,2.0,18.0,67.0
13,2023-09-06 13:00:00,2023-09-08 18:25:38,3.0,617.52,1428.0,573.0,0.0,2.0,93.0,70.0
14,2023-09-06 14:00:00,2023-09-08 18:25:38,3.0,619.68,1655.0,573.0,0.0,2.0,137.0,68.0
15,2023-09-06 15:00:00,2023-09-08 18:25:38,3.0,622.88,1926.0,583.0,0.0,1.0,181.0,69.0
16,2023-09-06 16:00:00,2023-09-08 18:25:38,3.0,619.5,2128.0,682.0,0.0,2.0,201.0,69.0
17,2023-09-06 17:00:00,2023-09-08 18:25:38,3.0,616.94,2234.0,786.0,0.0,3.0,196.0,65.0
18,2023-09-06 18:00:00,2023-09-08 18:25:38,3.0,603.9,2220.0,727.0,0.0,96.0,193.0,68.0
19,2023-09-06 19:00:00,2023-09-08 18:25:38,3.0,607.14,2240.0,708.0,0.0,96.0,188.0,65.0
20,2023-09-06 20:00:00,2023-09-08 18:25:38,3.0,599.51,2242.0,782.0,0.0,95.0,203.0,69.0
21,2023-09-06 21:00:00,2023-09-08 18:25:38,3.0,577.33,2020.0,899.0,0.0,135.0,181.0,67.0
22,2023-09-06 22:00:00,2023-09-08 18:25:38,3.0,576.9,2007.0,909.0,16.0,148.0,158.0,67.0
23,2023-09-06 23:00:00,2023-09-08 18:25:38,3.0,595.04,1979.0,852.0,54.0,149.0,58.0,67.0
