Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
38688,2023-06-01 00:00:00,2024-07-17 00:00:00,3.1,632.53,1309.0,826.0,0.0,190.0,26.0,48.0
38689,2023-06-01 01:00:00,2024-07-17 00:00:00,3.1,652.53,1316.0,828.0,0.0,138.0,2.0,45.0
38690,2023-06-01 02:00:00,2024-07-17 00:00:00,3.1,658.01,1258.0,794.0,0.0,114.0,0.0,45.0
38691,2023-06-01 03:00:00,2024-07-17 00:00:00,3.1,687.34,1191.0,770.0,0.0,10.0,0.0,46.0
38692,2023-06-01 04:00:00,2024-07-17 00:00:00,3.1,680.51,1028.0,754.0,0.0,1.0,0.0,46.0
38693,2023-06-01 05:00:00,2024-07-17 00:00:00,3.1,676.65,965.0,740.0,0.0,2.0,0.0,47.0
38694,2023-06-01 06:00:00,2024-07-17 00:00:00,3.1,671.13,903.0,743.0,0.0,2.0,0.0,50.0
38695,2023-06-01 07:00:00,2024-07-17 00:00:00,3.1,672.29,903.0,732.0,0.0,2.0,0.0,49.0
38696,2023-06-01 08:00:00,2024-07-17 00:00:00,3.1,665.23,836.0,741.0,0.0,2.0,0.0,50.0
38697,2023-06-01 09:00:00,2024-07-17 00:00:00,3.1,668.21,846.0,723.0,0.0,2.0,0.0,54.0
38698,2023-06-01 10:00:00,2024-07-17 00:00:00,3.1,675.33,947.0,739.0,0.0,2.0,0.0,51.0
38699,2023-06-01 11:00:00,2024-07-17 00:00:00,3.1,677.2,1028.0,771.0,0.0,1.0,5.0,59.0
38700,2023-06-01 12:00:00,2024-07-17 00:00:00,3.1,667.83,1112.0,748.0,0.0,2.0,59.0,57.0
38701,2023-06-01 13:00:00,2024-07-17 00:00:00,3.1,643.37,1059.0,769.0,0.0,2.0,119.0,59.0
38702,2023-06-01 14:00:00,2024-07-17 00:00:00,3.1,633.81,1032.0,773.0,0.0,2.0,142.0,58.0
38703,2023-06-01 15:00:00,2024-07-17 00:00:00,3.1,627.31,1134.0,771.0,0.0,40.0,159.0,56.0
38704,2023-06-01 16:00:00,2024-07-17 00:00:00,3.1,631.03,1271.0,764.0,0.0,72.0,158.0,56.0
38705,2023-06-01 17:00:00,2024-07-17 00:00:00,3.1,635.54,1385.0,765.0,0.0,74.0,174.0,60.0
38706,2023-06-01 18:00:00,2024-07-17 00:00:00,3.1,643.84,1478.0,759.0,0.0,72.0,171.0,61.0
38707,2023-06-01 19:00:00,2024-07-17 00:00:00,3.1,652.5,1495.0,752.0,0.0,73.0,140.0,57.0
38708,2023-06-01 20:00:00,2024-07-17 00:00:00,3.1,657.97,1476.0,754.0,0.0,73.0,112.0,58.0
38709,2023-06-01 21:00:00,2024-07-17 00:00:00,3.1,636.2,1368.0,738.0,0.0,120.0,125.0,60.0
38710,2023-06-01 22:00:00,2024-07-17 00:00:00,3.1,619.99,1331.0,749.0,0.0,157.0,139.0,58.0
38711,2023-06-01 23:00:00,2024-07-17 00:00:00,3.1,642.5,1424.0,746.0,0.0,157.0,76.0,61.0
