UTC time,coal,nat_gas,oil,hydro,solar,other
2023-08-03 00:00:00,2092.0,211.0,0.0,133.0,10.0,68.0
2023-08-03 01:00:00,2106.0,280.0,0.0,72.0,0.0,69.0
2023-08-03 02:00:00,1937.0,357.0,0.0,60.0,0.0,72.0
2023-08-03 03:00:00,1817.0,336.0,0.0,2.0,0.0,68.0
2023-08-03 04:00:00,1655.0,228.0,0.0,2.0,0.0,67.0
2023-08-03 05:00:00,1622.0,219.0,0.0,2.0,0.0,68.0
2023-08-03 06:00:00,1618.0,218.0,0.0,2.0,0.0,67.0
2023-08-03 07:00:00,1523.0,217.0,0.0,1.0,0.0,68.0
2023-08-03 08:00:00,1415.0,217.0,0.0,2.0,0.0,67.0
2023-08-03 09:00:00,1370.0,219.0,0.0,2.0,0.0,68.0
2023-08-03 10:00:00,1411.0,219.0,0.0,2.0,0.0,67.0
2023-08-03 11:00:00,1567.0,219.0,0.0,2.0,0.0,67.0
2023-08-03 12:00:00,1602.0,219.0,0.0,1.0,10.0,65.0
2023-08-03 13:00:00,1709.0,318.0,0.0,2.0,27.0,67.0
2023-08-03 14:00:00,1805.0,334.0,0.0,2.0,42.0,69.0
2023-08-03 15:00:00,1982.0,327.0,0.0,70.0,74.0,67.0
2023-08-03 16:00:00,1970.0,329.0,0.0,100.0,91.0,68.0
2023-08-03 17:00:00,2090.0,327.0,0.0,99.0,71.0,67.0
2023-08-03 18:00:00,2098.0,376.0,0.0,96.0,53.0,68.0
2023-08-03 19:00:00,2097.0,430.0,0.0,98.0,32.0,65.0
2023-08-03 20:00:00,2088.0,422.0,0.0,115.0,42.0,68.0
2023-08-03 21:00:00,1880.0,429.0,0.0,174.0,67.0,69.0
2023-08-03 22:00:00,1841.0,443.0,0.0,175.0,49.0,68.0
2023-08-03 23:00:00,1846.0,435.0,0.0,175.0,15.0,70.0
