,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
0,2023-06-26 00:00:00,700.43,2295.0,756.0,0.0,153.0,18.0,52.0
1,2023-06-26 01:00:00,703.11,2284.0,755.0,0.0,155.0,1.0,53.0
2,2023-06-26 02:00:00,698.57,2146.0,755.0,0.0,153.0,0.0,54.0
3,2023-06-26 03:00:00,706.89,2095.0,757.0,0.0,106.0,0.0,55.0
4,2023-06-26 04:00:00,703.58,1898.0,760.0,0.0,86.0,0.0,53.0
5,2023-06-26 05:00:00,694.31,1655.0,744.0,0.0,84.0,0.0,53.0
6,2023-06-26 06:00:00,688.46,1538.0,738.0,0.0,85.0,0.0,55.0
7,2023-06-26 07:00:00,676.34,1313.0,721.0,0.0,85.0,0.0,50.0
8,2023-06-26 08:00:00,678.22,1288.0,681.0,0.0,85.0,0.0,54.0
9,2023-06-26 09:00:00,675.25,1232.0,671.0,0.0,85.0,0.0,54.0
10,2023-06-26 10:00:00,678.69,1302.0,686.0,0.0,85.0,0.0,52.0
11,2023-06-26 11:00:00,682.75,1428.0,721.0,0.0,85.0,3.0,52.0
12,2023-06-26 12:00:00,687.27,1538.0,723.0,0.0,86.0,8.0,52.0
13,2023-06-26 13:00:00,677.08,1662.0,743.0,0.0,84.0,71.0,53.0
14,2023-06-26 14:00:00,678.7,1836.0,717.0,0.0,84.0,111.0,56.0
15,2023-06-26 15:00:00,681.44,2025.0,737.0,0.0,86.0,132.0,57.0
16,2023-06-26 16:00:00,690.73,2201.0,684.0,0.0,85.0,141.0,53.0
17,2023-06-26 17:00:00,685.54,2307.0,733.0,0.0,111.0,147.0,50.0
18,2023-06-26 18:00:00,674.75,2359.0,811.0,0.0,157.0,146.0,52.0
19,2023-06-26 19:00:00,672.93,2349.0,838.0,0.0,156.0,147.0,50.0
20,2023-06-26 20:00:00,668.06,2274.0,853.0,0.0,162.0,146.0,53.0
21,2023-06-26 21:00:00,662.11,2339.0,902.0,1.0,208.0,135.0,52.0
22,2023-06-26 22:00:00,666.53,2388.0,885.0,4.0,206.0,128.0,52.0
23,2023-06-26 23:00:00,681.1,2384.0,867.0,4.0,163.0,93.0,49.0
