Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
40920,2023-09-02 00:00:00,2024-07-17 00:00:00,3.1,334.12,10405.0,44842.0,4954.0,210.0,8183.0,5114.0,530.0
40921,2023-09-02 01:00:00,2024-07-17 00:00:00,3.1,360.93,10921.0,45482.0,4954.0,231.0,1984.0,6487.0,738.0
40922,2023-09-02 02:00:00,2024-07-17 00:00:00,3.1,355.87,10714.0,43114.0,4955.0,173.0,10.0,9008.0,433.0
40923,2023-09-02 03:00:00,2024-07-17 00:00:00,3.1,331.94,10065.0,38022.0,4956.0,29.0,0.0,12481.0,174.0
40924,2023-09-02 04:00:00,2024-07-17 00:00:00,3.1,307.85,9026.0,33217.0,4956.0,0.0,0.0,15120.0,130.0
40925,2023-09-02 05:00:00,2024-07-17 00:00:00,3.1,286.22,7550.0,29905.0,4958.0,0.0,0.0,16380.0,87.0
40926,2023-09-02 06:00:00,2024-07-17 00:00:00,3.1,276.19,6751.0,27222.0,4959.0,0.0,0.0,16202.0,83.0
40927,2023-09-02 07:00:00,2024-07-17 00:00:00,3.1,270.93,6028.0,25473.0,4958.0,3.0,0.0,15342.0,95.0
40928,2023-09-02 08:00:00,2024-07-17 00:00:00,3.1,276.11,5833.0,24679.0,4958.0,3.0,0.0,13733.0,74.0
40929,2023-09-02 09:00:00,2024-07-17 00:00:00,3.1,279.3,5595.0,24092.0,4959.0,3.0,0.0,12586.0,89.0
40930,2023-09-02 10:00:00,2024-07-17 00:00:00,3.1,288.12,5596.0,24303.0,4959.0,3.0,0.0,11210.0,101.0
40931,2023-09-02 11:00:00,2024-07-17 00:00:00,3.1,298.76,5738.0,24935.0,4960.0,3.0,0.0,9900.0,63.0
40932,2023-09-02 12:00:00,2024-07-17 00:00:00,3.1,306.99,5815.0,25699.0,4960.0,3.0,0.0,8951.0,67.0
40933,2023-09-02 13:00:00,2024-07-17 00:00:00,3.1,313.51,5882.0,26467.0,4961.0,3.0,628.0,7635.0,98.0
40934,2023-09-02 14:00:00,2024-07-17 00:00:00,3.1,283.58,5246.0,26002.0,4962.0,3.0,6496.0,5364.0,85.0
40935,2023-09-02 15:00:00,2024-07-17 00:00:00,3.1,273.41,5344.0,27594.0,4962.0,3.0,11244.0,3139.0,80.0
40936,2023-09-02 16:00:00,2024-07-17 00:00:00,3.1,281.59,6750.0,29384.0,4961.0,3.0,12618.0,3215.0,99.0
40937,2023-09-02 17:00:00,2024-07-17 00:00:00,3.1,304.34,8858.0,32285.0,4960.0,3.0,13261.0,2152.0,168.0
40938,2023-09-02 18:00:00,2024-07-17 00:00:00,3.1,322.86,10103.0,36680.0,4959.0,4.0,13213.0,949.0,116.0
40939,2023-09-02 19:00:00,2024-07-17 00:00:00,3.1,327.47,10134.0,40464.0,4957.0,22.0,12965.0,793.0,129.0
40940,2023-09-02 20:00:00,2024-07-17 00:00:00,3.1,329.16,10395.0,42632.0,4954.0,29.0,12563.0,1447.0,129.0
40941,2023-09-02 21:00:00,2024-07-17 00:00:00,3.1,332.84,10766.0,44135.0,4948.0,137.0,11862.0,1943.0,199.0
40942,2023-09-02 22:00:00,2024-07-17 00:00:00,3.1,333.26,10769.0,44660.0,4947.0,182.0,11470.0,2258.0,199.0
40943,2023-09-02 23:00:00,2024-07-17 00:00:00,3.1,336.45,10744.0,44928.0,4947.0,183.0,10329.0,2674.0,180.0
