Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
40848,2023-08-30 00:00:00,2024-07-17 00:00:00,3.1,409.09,8848.0,45308.0,4943.0,197.0,7662.0,6367.0,210.0
40849,2023-08-30 01:00:00,2024-07-17 00:00:00,3.1,441.99,8978.0,46303.0,4943.0,209.0,1887.0,6610.0,751.0
40850,2023-08-30 02:00:00,2024-07-17 00:00:00,3.1,455.03,9065.0,46031.0,4944.0,181.0,7.0,6406.0,805.0
40851,2023-08-30 03:00:00,2024-07-17 00:00:00,3.1,450.25,8945.0,44158.0,4944.0,27.0,1.0,6734.0,296.0
40852,2023-08-30 04:00:00,2024-07-17 00:00:00,3.1,445.07,8644.0,41057.0,4945.0,3.0,0.0,6872.0,157.0
40853,2023-08-30 05:00:00,2024-07-17 00:00:00,3.1,445.37,8481.0,37661.0,4946.0,3.0,0.0,6305.0,99.0
40854,2023-08-30 06:00:00,2024-07-17 00:00:00,3.1,442.8,8085.0,34848.0,4946.0,3.0,0.0,5973.0,64.0
40855,2023-08-30 07:00:00,2024-07-17 00:00:00,3.1,442.4,7238.0,33652.0,4947.0,3.0,0.0,5147.0,62.0
40856,2023-08-30 08:00:00,2024-07-17 00:00:00,3.1,451.82,7154.0,33048.0,4948.0,3.0,0.0,3935.0,67.0
40857,2023-08-30 09:00:00,2024-07-17 00:00:00,3.1,456.19,7109.0,32198.0,4947.0,3.0,0.0,3352.0,66.0
40858,2023-08-30 10:00:00,2024-07-17 00:00:00,3.1,458.31,7130.0,31765.0,4947.0,3.0,0.0,3117.0,75.0
40859,2023-08-30 11:00:00,2024-07-17 00:00:00,3.1,463.06,7255.0,32803.0,4948.0,3.0,0.0,2790.0,90.0
40860,2023-08-30 12:00:00,2024-07-17 00:00:00,3.1,463.72,7313.0,34465.0,4950.0,3.0,0.0,2882.0,130.0
40861,2023-08-30 13:00:00,2024-07-17 00:00:00,3.1,454.5,7236.0,33966.0,4952.0,3.0,715.0,3123.0,80.0
40862,2023-08-30 14:00:00,2024-07-17 00:00:00,3.1,415.93,6927.0,31548.0,4956.0,3.0,5867.0,2403.0,58.0
40863,2023-08-30 15:00:00,2024-07-17 00:00:00,3.1,390.21,6696.0,31365.0,4956.0,3.0,10895.0,1051.0,89.0
40864,2023-08-30 16:00:00,2024-07-17 00:00:00,3.1,388.96,7951.0,32145.0,4957.0,3.0,12887.0,1067.0,98.0
40865,2023-08-30 17:00:00,2024-07-17 00:00:00,3.1,391.7,9024.0,33797.0,4962.0,3.0,13196.0,2037.0,158.0
40866,2023-08-30 18:00:00,2024-07-17 00:00:00,3.1,397.3,9262.0,37529.0,4960.0,3.0,12928.0,2514.0,146.0
40867,2023-08-30 19:00:00,2024-07-17 00:00:00,3.1,399.68,9336.0,40409.0,4953.0,22.0,12658.0,3214.0,310.0
40868,2023-08-30 20:00:00,2024-07-17 00:00:00,3.1,401.85,9131.0,43557.0,4950.0,55.0,12551.0,3418.0,361.0
40869,2023-08-30 21:00:00,2024-07-17 00:00:00,3.1,398.08,8647.0,45200.0,4949.0,134.0,12502.0,3901.0,271.0
40870,2023-08-30 22:00:00,2024-07-17 00:00:00,3.1,401.42,8868.0,46174.0,4948.0,143.0,11995.0,4153.0,252.0
40871,2023-08-30 23:00:00,2024-07-17 00:00:00,3.1,409.14,9052.0,46716.0,4947.0,183.0,10998.0,3778.0,163.0
