UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-12-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T04:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T05:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T06:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T07:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T08:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T09:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T10:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T11:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T12:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T13:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T14:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T15:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T16:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T17:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T18:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T19:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T20:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T21:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T22:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-19T23:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T00:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T01:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T02:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T03:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T04:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T05:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T06:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T07:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T08:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T09:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T10:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T11:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T12:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T13:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T14:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T15:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T16:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T17:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T18:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T19:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T20:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T21:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T22:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-20T23:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T17:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T18:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T19:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T20:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T21:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T22:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-21T23:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T08:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T09:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T10:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T11:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T12:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T13:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T14:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T15:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T16:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T17:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T18:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T19:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T20:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T21:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T22:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-12-22T23:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
