UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-08T00:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T01:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T02:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T03:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T04:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T05:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T06:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T07:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T08:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T09:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T10:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T11:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T12:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T13:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T14:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T15:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T16:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T17:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T18:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T19:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T20:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T21:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T22:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-08T23:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T11:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T12:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T13:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T14:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T15:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T16:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T17:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T18:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T19:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T20:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T21:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T22:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-09T23:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T08:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T09:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T10:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T11:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T12:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T13:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T14:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T15:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T16:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T17:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T18:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T19:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T20:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T21:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T22:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-10T23:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T01:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T02:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T03:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T04:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T05:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T06:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T07:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T08:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T09:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T10:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T11:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T12:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T13:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T14:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T15:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T16:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T17:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T18:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T19:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T20:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T21:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T22:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
2023-10-11T23:00:00.000000000,2024-07-17 00:00:00,3.1,0.0,0.0
