,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
0,2023-09-08 00:00:00,2023-09-09 16:53:36,3.0,271.28,3859.0,5962.0,7131.0,2003.0,1.0,12.0
1,2023-09-08 01:00:00,2023-09-09 16:53:36,3.0,250.85,3158.0,5810.0,7135.0,2049.0,0.0,11.0
2,2023-09-08 02:00:00,2023-09-09 16:53:36,3.0,234.37,2755.0,5032.0,7142.0,1965.0,0.0,11.0
3,2023-09-08 03:00:00,2023-09-09 16:53:36,3.0,218.2,2580.0,3565.0,7141.0,1765.0,0.0,12.0
4,2023-09-08 04:00:00,2023-09-09 16:53:36,3.0,228.12,2499.0,3026.0,7141.0,586.0,0.0,12.0
5,2023-09-08 05:00:00,2023-09-09 16:53:36,3.0,231.59,2383.0,2830.0,7145.0,0.0,0.0,11.0
6,2023-09-08 06:00:00,2023-09-09 16:53:36,3.0,227.46,2300.0,2778.0,7144.0,0.0,0.0,12.0
7,2023-09-08 07:00:00,2023-09-09 16:53:36,3.0,217.55,2144.0,2545.0,7149.0,0.0,0.0,12.0
8,2023-09-08 08:00:00,2023-09-09 16:53:36,3.0,209.52,1991.0,2474.0,7147.0,0.0,0.0,12.0
9,2023-09-08 09:00:00,2023-09-09 16:53:36,3.0,204.64,1875.0,2522.0,7148.0,0.0,0.0,12.0
10,2023-09-08 10:00:00,2023-09-09 16:53:36,3.0,206.53,1882.0,2628.0,7145.0,0.0,0.0,12.0
11,2023-09-08 11:00:00,2023-09-09 16:53:36,3.0,215.06,1956.0,3010.0,7145.0,0.0,0.0,12.0
12,2023-09-08 12:00:00,2023-09-09 16:53:36,3.0,220.08,2077.0,3030.0,7141.0,0.0,38.0,12.0
13,2023-09-08 13:00:00,2023-09-09 16:53:36,3.0,220.98,2218.0,2940.0,7142.0,0.0,270.0,12.0
14,2023-09-08 14:00:00,2023-09-09 16:53:36,3.0,218.83,2283.0,2888.0,7136.0,0.0,526.0,13.0
15,2023-09-08 15:00:00,2023-09-09 16:53:36,3.0,218.07,2278.0,3035.0,7136.0,0.0,661.0,13.0
16,2023-09-08 16:00:00,2023-09-09 16:53:36,3.0,222.91,2458.0,3078.0,7132.0,43.0,799.0,13.0
17,2023-09-08 17:00:00,2023-09-09 16:53:36,3.0,247.63,3210.0,3225.0,7128.0,278.0,848.0,14.0
18,2023-09-08 18:00:00,2023-09-09 16:53:36,3.0,272.83,3824.0,3912.0,7126.0,267.0,844.0,14.0
19,2023-09-08 19:00:00,2023-09-09 16:53:36,3.0,275.17,3987.0,4300.0,7125.0,644.0,753.0,14.0
20,2023-09-08 20:00:00,2023-09-09 16:53:36,3.0,269.66,3990.0,4649.0,7127.0,1283.0,590.0,13.0
21,2023-09-08 21:00:00,2023-09-09 16:53:36,3.0,269.41,3987.0,4705.0,7123.0,1440.0,470.0,14.0
22,2023-09-08 22:00:00,2023-09-09 16:53:36,3.0,271.73,3991.0,4565.0,7135.0,1373.0,329.0,13.0
23,2023-09-08 23:00:00,2023-09-09 16:53:36,3.0,276.94,3997.0,4425.0,7135.0,1209.0,129.0,13.0
