Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
39288,2023-06-26 00:00:00,2024-07-17 00:00:00,3.1,192.74,483.0,3718.0,4013.0,186.0,578.0,64.0,0.0
39289,2023-06-26 01:00:00,2024-07-17 00:00:00,3.1,211.03,672.0,4008.0,4009.0,186.0,510.0,64.0,1.0
39290,2023-06-26 02:00:00,2024-07-17 00:00:00,3.1,227.04,710.0,4392.0,4010.0,183.0,208.0,68.0,24.0
39291,2023-06-26 03:00:00,2024-07-17 00:00:00,3.1,236.51,709.0,4511.0,4010.0,41.0,26.0,54.0,11.0
39292,2023-06-26 04:00:00,2024-07-17 00:00:00,3.1,236.92,711.0,4444.0,4014.0,40.0,4.0,38.0,21.0
39293,2023-06-26 05:00:00,2024-07-17 00:00:00,3.1,222.3,546.0,4183.0,4020.0,41.0,4.0,43.0,5.0
39294,2023-06-26 06:00:00,2024-07-17 00:00:00,3.1,210.5,390.0,4062.0,4028.0,41.0,2.0,25.0,0.0
39295,2023-06-26 07:00:00,2024-07-17 00:00:00,3.1,204.27,311.0,3992.0,4031.0,41.0,0.0,13.0,0.0
39296,2023-06-26 08:00:00,2024-07-17 00:00:00,3.1,228.96,305.0,5433.0,4035.0,9.0,0.0,10.0,0.0
39297,2023-06-26 09:00:00,2024-07-17 00:00:00,3.1,192.35,305.0,3457.0,4041.0,7.0,0.0,45.0,0.0
39298,2023-06-26 10:00:00,2024-07-17 00:00:00,3.1,184.73,304.0,3159.0,4046.0,7.0,0.0,62.0,0.0
39299,2023-06-26 11:00:00,2024-07-17 00:00:00,3.1,187.29,305.0,3262.0,4046.0,7.0,0.0,62.0,0.0
39300,2023-06-26 12:00:00,2024-07-17 00:00:00,3.1,185.87,305.0,3207.0,4048.0,7.0,0.0,64.0,0.0
39301,2023-06-26 13:00:00,2024-07-17 00:00:00,3.1,186.14,305.0,3216.0,4048.0,5.0,11.0,53.0,0.0
39302,2023-06-26 14:00:00,2024-07-17 00:00:00,3.1,174.36,305.0,2808.0,4049.0,7.0,86.0,33.0,0.0
39303,2023-06-26 15:00:00,2024-07-17 00:00:00,3.1,160.11,305.0,2422.0,4048.0,6.0,236.0,28.0,0.0
39304,2023-06-26 16:00:00,2024-07-17 00:00:00,3.1,150.99,305.0,2199.0,4042.0,6.0,307.0,65.0,0.0
39305,2023-06-26 17:00:00,2024-07-17 00:00:00,3.1,140.76,308.0,1981.0,4040.0,6.0,460.0,75.0,0.0
39306,2023-06-26 18:00:00,2024-07-17 00:00:00,3.1,145.16,361.0,1931.0,4032.0,6.0,404.0,78.0,0.0
39307,2023-06-26 19:00:00,2024-07-17 00:00:00,3.1,160.28,449.0,2181.0,4030.0,25.0,417.0,85.0,9.0
39308,2023-06-26 20:00:00,2024-07-17 00:00:00,3.1,181.68,525.0,2559.0,4027.0,6.0,246.0,86.0,19.0
39309,2023-06-26 21:00:00,2024-07-17 00:00:00,3.1,190.03,535.0,2941.0,4019.0,38.0,253.0,80.0,0.0
39310,2023-06-26 22:00:00,2024-07-17 00:00:00,3.1,199.04,507.0,3324.0,4015.0,39.0,161.0,69.0,0.0
39311,2023-06-26 23:00:00,2024-07-17 00:00:00,3.1,204.6,512.0,3673.0,4009.0,40.0,240.0,70.0,0.0
