,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
0,2023-08-09 00:00:00,2023-08-13 18:01:21,3.0,344.85,210.0,95.0
1,2023-08-09 01:00:00,2023-08-13 18:01:21,3.0,358.06,238.0,94.0
2,2023-08-09 02:00:00,2023-08-13 18:01:21,3.0,367.98,265.0,94.0
3,2023-08-09 03:00:00,2023-08-13 18:01:21,3.0,383.68,318.0,94.0
4,2023-08-09 04:00:00,2023-08-13 18:01:21,3.0,376.52,292.0,94.0
5,2023-08-09 05:00:00,2023-08-13 18:01:21,3.0,372.25,278.0,94.0
6,2023-08-09 06:00:00,2023-08-13 18:01:21,3.0,369.66,270.0,94.0
7,2023-08-09 07:00:00,2023-08-13 18:01:21,3.0,345.8,212.0,95.0
8,2023-08-09 08:00:00,2023-08-13 18:01:21,3.0,338.43,195.0,94.0
9,2023-08-09 09:00:00,2023-08-13 18:01:21,3.0,340.75,191.0,90.0
10,2023-08-09 10:00:00,2023-08-13 18:01:21,3.0,343.3,185.0,85.0
11,2023-08-09 11:00:00,2023-08-13 18:01:21,3.0,354.93,196.0,80.0
12,2023-08-09 12:00:00,2023-08-13 18:01:21,3.0,355.15,194.0,79.0
13,2023-08-09 13:00:00,2023-08-13 18:01:21,3.0,357.58,199.0,79.0
14,2023-08-09 14:00:00,2023-08-13 18:01:21,3.0,362.17,209.0,79.0
15,2023-08-09 15:00:00,2023-08-13 18:01:21,3.0,358.73,204.0,80.0
16,2023-08-09 16:00:00,2023-08-13 18:01:21,3.0,347.48,202.0,89.0
17,2023-08-09 17:00:00,2023-08-13 18:01:21,3.0,344.75,212.0,96.0
18,2023-08-09 18:00:00,2023-08-13 18:01:21,3.0,342.36,207.0,96.0
19,2023-08-09 19:00:00,2023-08-13 18:01:21,3.0,347.98,219.0,96.0
20,2023-08-09 20:00:00,2023-08-13 18:01:21,3.0,343.32,209.0,96.0
21,2023-08-09 21:00:00,2023-08-13 18:01:21,3.0,350.2,224.0,96.0
22,2023-08-09 22:00:00,2023-08-13 18:01:21,3.0,357.64,242.0,96.0
23,2023-08-09 23:00:00,2023-08-13 18:01:21,3.0,365.39,263.0,96.0
