UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-09-13 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-13 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-14 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-15 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-09-16 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
