UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-06-16 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-16 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-06-17 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
