UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-08-08 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-08 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-09 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-10 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2022-08-11 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
