UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-02 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-02 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-03 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-04 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2023-08-05 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
