UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-03-09 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-09 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-10 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-11 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-12 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-12 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-12 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-12 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-12 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-12 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-12 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-12 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-03-12 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
