UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-11-21 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-21 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-22 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 18:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 19:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 20:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 21:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 22:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-23 23:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 00:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 01:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 02:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 03:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 04:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 05:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 06:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 07:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 08:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 09:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 10:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 11:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 12:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 13:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 14:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 15:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 16:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
2022-11-24 17:00:00,2024-07-17 00:00:00,3.1,820.0,820.0
