UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-01-18 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-18 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-19 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-19 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-19 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-19 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-19 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-19 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-19 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-19 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-19 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-01-19 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
