UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-12-18 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-18 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-19 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-20 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 00:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 01:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 02:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 03:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 04:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 05:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 06:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 07:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 08:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 09:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 10:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 11:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 12:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 13:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 14:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 15:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 16:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 17:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 18:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 19:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 20:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 21:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 22:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
2023-12-21 23:00:00,2024-07-17 00:00:00,3.1,760.0,760.0
