Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,solar,wind
39648,2023-07-11 00:00:00,2024-07-17 00:00:00,3.1,676.04,1338.0,368.0,104.0,88.0
39649,2023-07-11 01:00:00,2024-07-17 00:00:00,3.1,644.1,1340.0,360.0,99.0,191.0
39650,2023-07-11 02:00:00,2024-07-17 00:00:00,3.1,624.49,1372.0,456.0,49.0,291.0
39651,2023-07-11 03:00:00,2024-07-17 00:00:00,3.1,655.05,1369.0,483.0,3.0,224.0
39652,2023-07-11 04:00:00,2024-07-17 00:00:00,3.1,625.55,1373.0,478.0,0.0,329.0
39653,2023-07-11 05:00:00,2024-07-17 00:00:00,3.1,680.95,1360.0,429.0,0.0,160.0
39654,2023-07-11 06:00:00,2024-07-17 00:00:00,3.1,646.15,1275.0,366.0,0.0,259.0
39655,2023-07-11 07:00:00,2024-07-17 00:00:00,3.1,620.77,1301.0,476.0,0.0,323.0
39656,2023-07-11 08:00:00,2024-07-17 00:00:00,3.1,656.38,1347.0,479.0,0.0,218.0
39657,2023-07-11 09:00:00,2024-07-17 00:00:00,3.1,604.24,1351.0,490.0,0.0,397.0
39658,2023-07-11 10:00:00,2024-07-17 00:00:00,3.1,583.07,1344.0,428.0,0.0,487.0
39659,2023-07-11 11:00:00,2024-07-17 00:00:00,3.1,578.21,1338.0,491.0,0.0,494.0
39660,2023-07-11 12:00:00,2024-07-17 00:00:00,3.1,577.93,1338.0,492.0,0.0,495.0
39661,2023-07-11 13:00:00,2024-07-17 00:00:00,3.1,578.32,1340.0,584.0,1.0,479.0
39662,2023-07-11 14:00:00,2024-07-17 00:00:00,3.1,573.12,1269.0,607.0,40.0,430.0
39663,2023-07-11 15:00:00,2024-07-17 00:00:00,3.1,581.3,1284.0,602.0,100.0,347.0
39664,2023-07-11 16:00:00,2024-07-17 00:00:00,3.1,598.26,1277.0,503.0,96.0,299.0
39665,2023-07-11 17:00:00,2024-07-17 00:00:00,3.1,634.2,1286.0,501.0,83.0,189.0
39666,2023-07-11 18:00:00,2024-07-17 00:00:00,3.1,642.77,1293.0,500.0,115.0,133.0
39667,2023-07-11 19:00:00,2024-07-17 00:00:00,3.1,662.49,1316.0,502.0,110.0,81.0
39668,2023-07-11 20:00:00,2024-07-17 00:00:00,3.1,685.13,1354.0,495.0,107.0,26.0
39669,2023-07-11 21:00:00,2024-07-17 00:00:00,3.1,689.15,1347.0,502.0,110.0,8.0
39670,2023-07-11 22:00:00,2024-07-17 00:00:00,3.1,690.12,1347.0,503.0,112.0,3.0
39671,2023-07-11 23:00:00,2024-07-17 00:00:00,3.1,693.39,1349.0,476.0,112.0,2.0
