Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
40752,2023-08-26 00:00:00,2024-07-17 00:00:00,3.1,380.4,357.0,2970.0,0.0,0.0,5.0,1665.0,88.0,345.0
40753,2023-08-26 01:00:00,2024-07-17 00:00:00,3.1,415.01,449.0,3507.0,0.0,0.0,8.0,1401.0,38.0,323.0
40754,2023-08-26 02:00:00,2024-07-17 00:00:00,3.1,478.85,384.0,3828.0,0.0,0.0,79.0,447.0,25.0,307.0
40755,2023-08-26 03:00:00,2024-07-17 00:00:00,3.1,509.83,345.0,3886.0,0.0,0.0,144.0,66.0,7.0,390.0
40756,2023-08-26 04:00:00,2024-07-17 00:00:00,3.1,518.76,346.0,3705.0,0.0,0.0,79.0,66.0,0.0,401.0
40757,2023-08-26 05:00:00,2024-07-17 00:00:00,3.1,523.58,299.0,3571.0,0.0,0.0,14.0,41.0,2.0,334.0
40758,2023-08-26 06:00:00,2024-07-17 00:00:00,3.1,505.59,231.0,3498.0,0.0,0.0,141.0,67.0,0.0,415.0
40759,2023-08-26 07:00:00,2024-07-17 00:00:00,3.1,514.37,226.0,3219.0,0.0,0.0,79.0,64.0,0.0,421.0
40760,2023-08-26 08:00:00,2024-07-17 00:00:00,3.1,525.85,225.0,3135.0,0.0,0.0,9.0,21.0,4.0,361.0
40761,2023-08-26 09:00:00,2024-07-17 00:00:00,3.1,531.93,226.0,2726.0,0.0,0.0,5.0,18.0,1.0,363.0
40762,2023-08-26 10:00:00,2024-07-17 00:00:00,3.1,532.55,226.0,2724.0,0.0,0.0,5.0,17.0,0.0,369.0
40763,2023-08-26 11:00:00,2024-07-17 00:00:00,3.1,536.33,226.0,2480.0,0.0,0.0,5.0,17.0,0.0,377.0
40764,2023-08-26 12:00:00,2024-07-17 00:00:00,3.1,536.63,225.0,2468.0,0.0,0.0,5.0,18.0,0.0,384.0
40765,2023-08-26 13:00:00,2024-07-17 00:00:00,3.1,538.33,225.0,2379.0,0.0,0.0,5.0,18.0,0.0,390.0
40766,2023-08-26 14:00:00,2024-07-17 00:00:00,3.1,523.42,252.0,2105.0,0.0,0.0,5.0,156.0,0.0,412.0
40767,2023-08-26 15:00:00,2024-07-17 00:00:00,3.1,396.98,302.0,1339.0,0.0,0.0,5.0,1080.0,0.0,428.0
40768,2023-08-26 16:00:00,2024-07-17 00:00:00,3.1,325.48,308.0,1242.0,0.0,0.0,5.0,1847.0,0.0,435.0
40769,2023-08-26 17:00:00,2024-07-17 00:00:00,3.1,313.33,307.0,1240.0,0.0,0.0,5.0,2019.0,0.0,436.0
40770,2023-08-26 18:00:00,2024-07-17 00:00:00,3.1,315.76,308.0,1348.0,0.0,0.0,5.0,2043.0,0.0,428.0
40771,2023-08-26 19:00:00,2024-07-17 00:00:00,3.1,324.06,349.0,1468.0,0.0,0.0,5.0,2042.0,8.0,418.0
40772,2023-08-26 20:00:00,2024-07-17 00:00:00,3.1,338.4,382.0,1859.0,0.0,0.0,5.0,2047.0,33.0,407.0
40773,2023-08-26 21:00:00,2024-07-17 00:00:00,3.1,338.34,382.0,1919.0,0.0,0.0,5.0,2048.0,53.0,400.0
40774,2023-08-26 22:00:00,2024-07-17 00:00:00,3.1,347.9,382.0,2293.0,0.0,0.0,5.0,2039.0,72.0,390.0
40775,2023-08-26 23:00:00,2024-07-17 00:00:00,3.1,360.96,382.0,2824.0,0.0,0.0,5.0,2042.0,66.0,384.0
