UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-10-01 00:00:00,2024-07-17 00:00:00,3.1,,
2022-10-01 01:00:00,2024-07-17 00:00:00,3.1,799.35,609.55981
2022-10-01 02:00:00,2024-07-17 00:00:00,3.1,800.53,613.80018
2022-10-01 03:00:00,2024-07-17 00:00:00,3.1,798.6,619.37675
2022-10-01 04:00:00,2024-07-17 00:00:00,3.1,794.78,612.33354
2022-10-01 05:00:00,2024-07-17 00:00:00,3.1,792.35,604.66208
2022-10-01 06:00:00,2024-07-17 00:00:00,3.1,789.59,593.3386
2022-10-01 07:00:00,2024-07-17 00:00:00,3.1,787.42,613.43852
2022-10-01 08:00:00,2024-07-17 00:00:00,3.1,786.17,613.83439
2022-10-01 09:00:00,2024-07-17 00:00:00,3.1,785.05,590.70123
2022-10-01 10:00:00,2024-07-17 00:00:00,3.1,786.22,591.7821
2022-10-01 11:00:00,2024-07-17 00:00:00,3.1,787.51,584.92237
2022-10-01 12:00:00,2024-07-17 00:00:00,3.1,787.1,603.97863
2022-10-01 13:00:00,2024-07-17 00:00:00,3.1,722.96,605.13093
2022-10-01 14:00:00,2024-07-17 00:00:00,3.1,676.13,622.58988
2022-10-01 15:00:00,2024-07-17 00:00:00,3.1,674.35,618.31376
2022-10-01 16:00:00,2024-07-17 00:00:00,3.1,676.15,592.73581
2022-10-01 17:00:00,2024-07-17 00:00:00,3.1,682.55,599.04724
2022-10-01 18:00:00,2024-07-17 00:00:00,3.1,685.63,617.66469
2022-10-01 19:00:00,2024-07-17 00:00:00,3.1,694.91,585.6713
2022-10-01 20:00:00,2024-07-17 00:00:00,3.1,696.0,595.47507
2022-10-01 21:00:00,2024-07-17 00:00:00,3.1,699.98,599.0395
2022-10-01 22:00:00,2024-07-17 00:00:00,3.1,721.75,613.02605
2022-10-01 23:00:00,2024-07-17 00:00:00,3.1,769.99,606.20433
2022-10-02 00:00:00,2024-07-17 00:00:00,3.1,798.8,598.30944
2022-10-02 01:00:00,2024-07-17 00:00:00,3.1,799.42,609.55981
2022-10-02 02:00:00,2024-07-17 00:00:00,3.1,799.84,613.80018
2022-10-02 03:00:00,2024-07-17 00:00:00,3.1,800.26,619.37675
2022-10-02 04:00:00,2024-07-17 00:00:00,3.1,797.1,612.33354
2022-10-02 05:00:00,2024-07-17 00:00:00,3.1,793.97,604.66208
2022-10-02 06:00:00,2024-07-17 00:00:00,3.1,789.95,593.3386
2022-10-02 07:00:00,2024-07-17 00:00:00,3.1,787.56,613.43852
2022-10-02 08:00:00,2024-07-17 00:00:00,3.1,787.01,613.83439
2022-10-02 09:00:00,2024-07-17 00:00:00,3.1,785.76,590.70123
2022-10-02 10:00:00,2024-07-17 00:00:00,3.1,786.11,591.7821
2022-10-02 11:00:00,2024-07-17 00:00:00,3.1,788.3,584.92237
2022-10-02 12:00:00,2024-07-17 00:00:00,3.1,788.96,603.97863
2022-10-02 13:00:00,2024-07-17 00:00:00,3.1,730.2,605.13093
2022-10-02 14:00:00,2024-07-17 00:00:00,3.1,686.94,622.58988
2022-10-02 15:00:00,2024-07-17 00:00:00,3.1,688.36,618.31376
2022-10-02 16:00:00,2024-07-17 00:00:00,3.1,694.94,592.73581
2022-10-02 17:00:00,2024-07-17 00:00:00,3.1,692.87,599.04724
2022-10-02 18:00:00,2024-07-17 00:00:00,3.1,706.55,617.66469
2022-10-02 19:00:00,2024-07-17 00:00:00,3.1,711.27,585.6713
2022-10-02 20:00:00,2024-07-17 00:00:00,3.1,710.41,595.47507
2022-10-02 21:00:00,2024-07-17 00:00:00,3.1,717.67,599.0395
2022-10-02 22:00:00,2024-07-17 00:00:00,3.1,734.82,613.02605
2022-10-02 23:00:00,2024-07-17 00:00:00,3.1,778.02,606.20433
2022-10-03 00:00:00,2024-07-17 00:00:00,3.1,801.34,598.30944
2022-10-03 01:00:00,2024-07-17 00:00:00,3.1,805.0,609.55976
2022-10-03 02:00:00,2024-07-17 00:00:00,3.1,803.77,613.80018
2022-10-03 03:00:00,2024-07-17 00:00:00,3.1,801.65,619.37675
2022-10-03 04:00:00,2024-07-17 00:00:00,3.1,798.71,612.33354
2022-10-03 05:00:00,2024-07-17 00:00:00,3.1,796.3,604.66208
2022-10-03 06:00:00,2024-07-17 00:00:00,3.1,793.42,593.3386
2022-10-03 07:00:00,2024-07-17 00:00:00,3.1,791.79,613.43852
2022-10-03 08:00:00,2024-07-17 00:00:00,3.1,791.9,613.83439
2022-10-03 09:00:00,2024-07-17 00:00:00,3.1,788.92,590.70123
2022-10-03 10:00:00,2024-07-17 00:00:00,3.1,791.39,591.7821
2022-10-03 11:00:00,2024-07-17 00:00:00,3.1,793.91,584.92237
2022-10-03 12:00:00,2024-07-17 00:00:00,3.1,793.73,603.97863
2022-10-03 13:00:00,2024-07-17 00:00:00,3.1,735.67,605.13093
2022-10-03 14:00:00,2024-07-17 00:00:00,3.1,685.63,622.58988
2022-10-03 15:00:00,2024-07-17 00:00:00,3.1,683.45,618.31376
2022-10-03 16:00:00,2024-07-17 00:00:00,3.1,691.2,592.73581
2022-10-03 17:00:00,2024-07-17 00:00:00,3.1,703.76,599.04724
2022-10-03 18:00:00,2024-07-17 00:00:00,3.1,712.29,617.66469
2022-10-03 19:00:00,2024-07-17 00:00:00,3.1,721.54,585.6713
2022-10-03 20:00:00,2024-07-17 00:00:00,3.1,734.22,595.47507
2022-10-03 21:00:00,2024-07-17 00:00:00,3.1,735.92,599.0395
2022-10-03 22:00:00,2024-07-17 00:00:00,3.1,742.99,613.02605
2022-10-03 23:00:00,2024-07-17 00:00:00,3.1,779.1,606.20433
2022-10-04 00:00:00,2024-07-17 00:00:00,3.1,803.78,598.30944
2022-10-04 01:00:00,2024-07-17 00:00:00,3.1,804.18,609.55981
2022-10-04 02:00:00,2024-07-17 00:00:00,3.1,803.66,613.80018
2022-10-04 03:00:00,2024-07-17 00:00:00,3.1,801.91,619.37675
2022-10-04 04:00:00,2024-07-17 00:00:00,3.1,797.76,612.33354
2022-10-04 05:00:00,2024-07-17 00:00:00,3.1,794.8,604.66208
2022-10-04 06:00:00,2024-07-17 00:00:00,3.1,792.37,593.3386
2022-10-04 07:00:00,2024-07-17 00:00:00,3.1,790.32,613.43852
2022-10-04 08:00:00,2024-07-17 00:00:00,3.1,789.8,613.83439
2022-10-04 09:00:00,2024-07-17 00:00:00,3.1,788.93,590.70123
2022-10-04 10:00:00,2024-07-17 00:00:00,3.1,792.56,591.7821
2022-10-04 11:00:00,2024-07-17 00:00:00,3.1,796.31,584.92237
2022-10-04 12:00:00,2024-07-17 00:00:00,3.1,796.26,603.97863
2022-10-04 13:00:00,2024-07-17 00:00:00,3.1,743.82,605.13093
2022-10-04 14:00:00,2024-07-17 00:00:00,3.1,692.86,622.58988
2022-10-04 15:00:00,2024-07-17 00:00:00,3.1,686.4,618.31376
2022-10-04 16:00:00,2024-07-17 00:00:00,3.1,691.84,592.73581
2022-10-04 17:00:00,2024-07-17 00:00:00,3.1,701.98,599.04724
2022-10-04 18:00:00,2024-07-17 00:00:00,3.1,707.02,617.66469
2022-10-04 19:00:00,2024-07-17 00:00:00,3.1,706.57,585.6713
2022-10-04 20:00:00,2024-07-17 00:00:00,3.1,709.88,595.47507
2022-10-04 21:00:00,2024-07-17 00:00:00,3.1,723.46,599.0395
2022-10-04 22:00:00,2024-07-17 00:00:00,3.1,749.74,613.02605
2022-10-04 23:00:00,2024-07-17 00:00:00,3.1,787.47,606.20433
