Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
40248,2023-08-05 00:00:00,2024-07-17 00:00:00,3.1,426.18,1075.0,180.0
40249,2023-08-05 01:00:00,2024-07-17 00:00:00,3.1,436.38,1073.0,147.0
40250,2023-08-05 02:00:00,2024-07-17 00:00:00,3.1,467.58,1093.0,58.0
40251,2023-08-05 03:00:00,2024-07-17 00:00:00,3.1,476.2,1094.0,35.0
40252,2023-08-05 04:00:00,2024-07-17 00:00:00,3.1,476.83,1115.0,34.0
40253,2023-08-05 05:00:00,2024-07-17 00:00:00,3.1,487.12,1076.0,7.0
40254,2023-08-05 06:00:00,2024-07-17 00:00:00,3.1,490.0,1066.0,0.0
40255,2023-08-05 07:00:00,2024-07-17 00:00:00,3.1,490.0,1018.0,0.0
40256,2023-08-05 08:00:00,2024-07-17 00:00:00,3.1,490.0,911.0,0.0
40257,2023-08-05 09:00:00,2024-07-17 00:00:00,3.1,490.0,797.0,0.0
40258,2023-08-05 10:00:00,2024-07-17 00:00:00,3.1,490.0,741.0,0.0
40259,2023-08-05 11:00:00,2024-07-17 00:00:00,3.1,490.0,700.0,0.0
40260,2023-08-05 12:00:00,2024-07-17 00:00:00,3.1,490.0,703.0,0.0
40261,2023-08-05 13:00:00,2024-07-17 00:00:00,3.1,487.44,691.0,4.0
40262,2023-08-05 14:00:00,2024-07-17 00:00:00,3.1,432.24,657.0,98.0
40263,2023-08-05 15:00:00,2024-07-17 00:00:00,3.1,383.69,583.0,183.0
40264,2023-08-05 16:00:00,2024-07-17 00:00:00,3.1,359.09,583.0,243.0
40265,2023-08-05 17:00:00,2024-07-17 00:00:00,3.1,357.73,584.0,247.0
40266,2023-08-05 18:00:00,2024-07-17 00:00:00,3.1,386.96,823.0,248.0
40267,2023-08-05 19:00:00,2024-07-17 00:00:00,3.1,403.9,942.0,226.0
40268,2023-08-05 20:00:00,2024-07-17 00:00:00,3.1,415.41,1013.0,204.0
40269,2023-08-05 21:00:00,2024-07-17 00:00:00,3.1,422.17,1051.0,189.0
40270,2023-08-05 22:00:00,2024-07-17 00:00:00,3.1,424.1,1047.0,182.0
40271,2023-08-05 23:00:00,2024-07-17 00:00:00,3.1,435.54,1090.0,152.0
