,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
0,2023-08-03 00:00:00,2023-08-13 18:54:59,3.0,336.25,1106.0,111.0
1,2023-08-03 01:00:00,2023-08-13 18:54:59,3.0,350.14,1005.0,57.0
2,2023-08-03 02:00:00,2023-08-13 18:54:59,3.0,362.85,1015.0,20.0
3,2023-08-03 03:00:00,2023-08-13 18:54:59,3.0,368.54,1011.0,4.0
4,2023-08-03 04:00:00,2023-08-13 18:54:59,3.0,369.65,1070.0,1.0
5,2023-08-03 05:00:00,2023-08-13 18:54:59,3.0,369.64,1021.0,1.0
6,2023-08-03 06:00:00,2023-08-13 18:54:59,3.0,370.0,1065.0,0.0
7,2023-08-03 07:00:00,2023-08-13 18:54:59,3.0,370.0,1001.0,0.0
8,2023-08-03 08:00:00,2023-08-13 18:54:59,3.0,370.0,913.0,0.0
9,2023-08-03 09:00:00,2023-08-13 18:54:59,3.0,370.0,878.0,0.0
10,2023-08-03 10:00:00,2023-08-13 18:54:59,3.0,370.0,798.0,0.0
11,2023-08-03 11:00:00,2023-08-13 18:54:59,3.0,370.0,817.0,0.0
12,2023-08-03 12:00:00,2023-08-13 18:54:59,3.0,370.0,815.0,0.0
13,2023-08-03 13:00:00,2023-08-13 18:54:59,3.0,369.54,811.0,1.0
14,2023-08-03 14:00:00,2023-08-13 18:54:59,3.0,359.02,752.0,23.0
15,2023-08-03 15:00:00,2023-08-13 18:54:59,3.0,342.82,719.0,57.0
16,2023-08-03 16:00:00,2023-08-13 18:54:59,3.0,308.1,647.0,130.0
17,2023-08-03 17:00:00,2023-08-13 18:54:59,3.0,290.44,679.0,186.0
18,2023-08-03 18:00:00,2023-08-13 18:54:59,3.0,292.04,884.0,236.0
19,2023-08-03 19:00:00,2023-08-13 18:54:59,3.0,297.39,942.0,230.0
20,2023-08-03 20:00:00,2023-08-13 18:54:59,3.0,299.64,1069.0,251.0
21,2023-08-03 21:00:00,2023-08-13 18:54:59,3.0,312.99,1076.0,196.0
22,2023-08-03 22:00:00,2023-08-13 18:54:59,3.0,314.91,1086.0,190.0
23,2023-08-03 23:00:00,2023-08-13 18:54:59,3.0,318.63,1104.0,178.0
