UTC time,coal,nat_gas,wind
2023-08-30 00:00:00,1160.0,1524.0,71.0
2023-08-30 01:00:00,1104.0,1507.0,68.0
2023-08-30 02:00:00,1136.0,1502.0,86.0
2023-08-30 03:00:00,1086.0,1202.0,197.0
2023-08-30 04:00:00,1003.0,1049.0,203.0
2023-08-30 05:00:00,1034.0,900.0,177.0
2023-08-30 06:00:00,1010.0,787.0,293.0
2023-08-30 07:00:00,1032.0,718.0,345.0
2023-08-30 08:00:00,1052.0,642.0,320.0
2023-08-30 09:00:00,1080.0,644.0,252.0
2023-08-30 10:00:00,1081.0,721.0,267.0
2023-08-30 11:00:00,1127.0,898.0,227.0
2023-08-30 12:00:00,1240.0,873.0,218.0
2023-08-30 13:00:00,1132.0,735.0,204.0
2023-08-30 14:00:00,1093.0,944.0,175.0
2023-08-30 15:00:00,1171.0,1175.0,40.0
2023-08-30 16:00:00,1174.0,1351.0,33.0
2023-08-30 17:00:00,1215.0,1443.0,30.0
2023-08-30 18:00:00,1253.0,1487.0,21.0
2023-08-30 19:00:00,1192.0,1527.0,32.0
2023-08-30 20:00:00,1192.0,1524.0,52.0
2023-08-30 21:00:00,1207.0,1562.0,36.0
2023-08-30 22:00:00,1267.0,1569.0,35.0
2023-08-30 23:00:00,1328.0,1433.0,34.0
