UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
2023-04-03 00:00:00,4223.0,5625.0,2018.0,139.0,1223.0,142.0,14037.0,40.0
2023-04-03 01:00:00,3911.0,5556.0,2021.0,81.0,1176.0,55.0,14878.0,40.0
2023-04-03 02:00:00,3855.0,5037.0,2027.0,0.0,1094.0,0.0,16929.0,39.0
2023-04-03 03:00:00,3715.0,3998.0,2027.0,0.0,954.0,0.0,17392.0,39.0
2023-04-03 04:00:00,3253.0,3537.0,2028.0,0.0,509.0,0.0,17597.0,41.0
2023-04-03 05:00:00,2818.0,3164.0,2029.0,0.0,392.0,0.0,17225.0,40.0
2023-04-03 06:00:00,2939.0,3206.0,2029.0,0.0,393.0,0.0,16928.0,39.0
2023-04-03 07:00:00,2713.0,3053.0,2029.0,0.0,310.0,0.0,16948.0,39.0
2023-04-03 08:00:00,2713.0,3065.0,2029.0,0.0,373.0,0.0,17123.0,38.0
2023-04-03 09:00:00,2857.0,3170.0,2029.0,0.0,321.0,0.0,16885.0,38.0
2023-04-03 10:00:00,2861.0,3380.0,2030.0,0.0,341.0,0.0,16719.0,38.0
2023-04-03 11:00:00,3112.0,4235.0,2030.0,0.0,440.0,0.0,16705.0,40.0
2023-04-03 12:00:00,3139.0,5793.0,2030.0,0.0,814.0,0.0,16511.0,39.0
2023-04-03 13:00:00,2988.0,6383.0,2028.0,0.0,985.0,1.0,16794.0,39.0
2023-04-03 14:00:00,3152.0,7819.0,2028.0,0.0,1148.0,74.0,14611.0,38.0
2023-04-03 15:00:00,3931.0,9131.0,2028.0,0.0,1250.0,202.0,11436.0,38.0
2023-04-03 16:00:00,4517.0,9680.0,2028.0,4.0,1350.0,215.0,10273.0,38.0
2023-04-03 17:00:00,4890.0,10184.0,2026.0,22.0,1393.0,215.0,10172.0,39.0
2023-04-03 18:00:00,5375.0,10050.0,2026.0,22.0,1383.0,227.0,9892.0,39.0
2023-04-03 19:00:00,5768.0,10503.0,2020.0,170.0,1330.0,212.0,9955.0,40.0
2023-04-03 20:00:00,5770.0,10399.0,2015.0,266.0,1112.0,223.0,10187.0,42.0
2023-04-03 21:00:00,5980.0,9694.0,2008.0,178.0,1117.0,161.0,10408.0,39.0
2023-04-03 22:00:00,5877.0,9528.0,2003.0,182.0,1215.0,181.0,10969.0,38.0
2023-04-03 23:00:00,5418.0,9287.0,1995.0,198.0,1204.0,67.0,11731.0,37.0
