Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
40248,2023-08-05 00:00:00,2024-07-17 00:00:00,3.1,370.18,439.0,2279.0,982.0,222.0,129.0,0.0
40249,2023-08-05 01:00:00,2024-07-17 00:00:00,3.1,374.15,438.0,2239.0,982.0,281.0,2.0,0.0
40250,2023-08-05 02:00:00,2024-07-17 00:00:00,3.1,372.81,438.0,2099.0,982.0,251.0,0.0,0.0
40251,2023-08-05 03:00:00,2024-07-17 00:00:00,3.1,378.34,441.0,1982.0,983.0,158.0,0.0,0.0
40252,2023-08-05 04:00:00,2024-07-17 00:00:00,3.1,372.98,438.0,1711.0,982.0,119.0,0.0,0.0
40253,2023-08-05 05:00:00,2024-07-17 00:00:00,3.1,378.7,438.0,1623.0,983.0,38.0,0.0,0.0
40254,2023-08-05 06:00:00,2024-07-17 00:00:00,3.1,376.58,436.0,1508.0,982.0,18.0,0.0,0.0
40255,2023-08-05 07:00:00,2024-07-17 00:00:00,3.1,371.76,436.0,1391.0,983.0,18.0,0.0,0.0
40256,2023-08-05 08:00:00,2024-07-17 00:00:00,3.1,367.74,436.0,1295.0,982.0,18.0,0.0,0.0
40257,2023-08-05 09:00:00,2024-07-17 00:00:00,3.1,368.9,440.0,1312.0,982.0,20.0,0.0,0.0
40258,2023-08-05 10:00:00,2024-07-17 00:00:00,3.1,373.03,438.0,1411.0,982.0,18.0,0.0,0.0
40259,2023-08-05 11:00:00,2024-07-17 00:00:00,3.1,374.07,441.0,1428.0,983.0,18.0,0.0,0.0
40260,2023-08-05 12:00:00,2024-07-17 00:00:00,3.1,356.41,440.0,1348.0,983.0,17.0,128.0,0.0
40261,2023-08-05 13:00:00,2024-07-17 00:00:00,3.1,319.09,439.0,1279.0,982.0,21.0,477.0,0.0
40262,2023-08-05 14:00:00,2024-07-17 00:00:00,3.1,302.47,441.0,1384.0,983.0,19.0,765.0,0.0
40263,2023-08-05 15:00:00,2024-07-17 00:00:00,3.1,307.54,438.0,1554.0,982.0,18.0,810.0,0.0
40264,2023-08-05 16:00:00,2024-07-17 00:00:00,3.1,314.24,441.0,1689.0,983.0,20.0,806.0,0.0
40265,2023-08-05 17:00:00,2024-07-17 00:00:00,3.1,320.49,439.0,1817.0,982.0,18.0,795.0,0.0
40266,2023-08-05 18:00:00,2024-07-17 00:00:00,3.1,325.25,437.0,1903.0,984.0,18.0,771.0,0.0
40267,2023-08-05 19:00:00,2024-07-17 00:00:00,3.1,330.85,438.0,2037.0,982.0,18.0,769.0,0.0
40268,2023-08-05 20:00:00,2024-07-17 00:00:00,3.1,338.13,440.0,2141.0,980.0,18.0,723.0,0.0
40269,2023-08-05 21:00:00,2024-07-17 00:00:00,3.1,339.85,436.0,2242.0,983.0,37.0,719.0,0.0
40270,2023-08-05 22:00:00,2024-07-17 00:00:00,3.1,340.39,456.0,2250.0,982.0,88.0,694.0,0.0
40271,2023-08-05 23:00:00,2024-07-17 00:00:00,3.1,362.08,539.0,2332.0,981.0,152.0,474.0,0.0
