Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown
37080,2023-03-26 00:00:00,2024-07-17 00:00:00,3.1,129.63,0.0,5780.0,7939.0,0.0,1873.0,906.0,0.0,0.0,0.0,0.0
37081,2023-03-26 01:00:00,2024-07-17 00:00:00,3.1,126.49,0.0,5779.0,8340.0,0.0,1859.0,927.0,0.0,0.0,0.0,0.0
37082,2023-03-26 02:00:00,2024-07-17 00:00:00,3.1,124.15,0.0,5781.0,8622.0,0.0,1896.0,930.0,0.0,0.0,0.0,0.0
37083,2023-03-26 03:00:00,2024-07-17 00:00:00,3.1,122.44,0.0,5777.0,8713.0,0.0,2002.0,965.0,0.0,0.0,0.0,0.0
37084,2023-03-26 04:00:00,2024-07-17 00:00:00,3.1,118.81,0.0,5768.0,9150.0,0.0,2074.0,971.0,0.0,0.0,0.0,0.0
37085,2023-03-26 05:00:00,2024-07-17 00:00:00,3.1,114.91,0.0,5767.0,9666.0,4.0,2110.0,1036.0,0.0,0.0,0.0,0.0
37086,2023-03-26 06:00:00,2024-07-17 00:00:00,3.1,112.8,0.0,5760.0,10092.0,30.0,2071.0,1048.0,0.0,0.0,0.0,0.0
37087,2023-03-26 07:00:00,2024-07-17 00:00:00,3.1,111.26,0.0,5761.0,10637.0,74.0,1883.0,1073.0,0.0,0.0,0.0,0.0
37088,2023-03-26 08:00:00,2024-07-17 00:00:00,3.1,110.56,0.0,5762.0,10971.0,129.0,1756.0,1138.0,0.0,0.0,0.0,0.0
37089,2023-03-26 09:00:00,2024-07-17 00:00:00,3.1,112.02,0.0,5761.0,10956.0,174.0,1641.0,1127.0,0.0,0.0,0.0,0.0
37090,2023-03-26 10:00:00,2024-07-17 00:00:00,3.1,115.22,0.0,5756.0,10484.0,197.0,1595.0,1146.0,0.0,0.0,0.0,0.0
37091,2023-03-26 11:00:00,2024-07-17 00:00:00,3.1,117.69,0.0,5756.0,10103.0,198.0,1595.0,1127.0,0.0,0.0,0.0,0.0
37092,2023-03-26 12:00:00,2024-07-17 00:00:00,3.1,118.42,0.0,5757.0,9873.0,184.0,1660.0,1144.0,0.0,0.0,0.0,0.0
37093,2023-03-26 13:00:00,2024-07-17 00:00:00,3.1,117.67,0.0,5756.0,9826.0,152.0,1736.0,1153.0,0.0,0.0,0.0,0.0
37094,2023-03-26 14:00:00,2024-07-17 00:00:00,3.1,113.32,0.0,5757.0,10362.0,99.0,1774.0,1160.0,0.0,0.0,0.0,0.0
37095,2023-03-26 15:00:00,2024-07-17 00:00:00,3.1,107.54,0.0,5757.0,11185.0,54.0,1831.0,1184.0,0.0,0.0,0.0,0.0
37096,2023-03-26 16:00:00,2024-07-17 00:00:00,3.1,105.92,0.0,5757.0,11227.0,35.0,2051.0,1175.0,0.0,0.0,0.0,0.0
37097,2023-03-26 17:00:00,2024-07-17 00:00:00,3.1,106.4,0.0,5755.0,10821.0,20.0,2304.0,1189.0,0.0,0.0,0.0,0.0
37098,2023-03-26 18:00:00,2024-07-17 00:00:00,3.1,107.12,0.0,5754.0,10450.0,0.0,2497.0,1173.0,0.0,0.0,0.0,0.0
37099,2023-03-26 19:00:00,2024-07-17 00:00:00,3.1,108.37,0.0,5756.0,10084.0,0.0,2674.0,1139.0,0.0,0.0,0.0,0.0
37100,2023-03-26 20:00:00,2024-07-17 00:00:00,3.1,112.41,0.0,5757.0,9205.0,0.0,2848.0,1140.0,0.0,0.0,0.0,0.0
37101,2023-03-26 21:00:00,2024-07-17 00:00:00,3.1,115.78,0.0,5755.0,8439.0,0.0,3084.0,1113.0,0.0,0.0,0.0,0.0
37102,2023-03-26 22:00:00,2024-07-17 00:00:00,3.1,117.93,0.0,5758.0,8061.0,0.0,3145.0,1102.0,0.0,0.0,0.0,0.0
37103,2023-03-26 23:00:00,2024-07-17 00:00:00,3.1,119.68,0.0,5757.0,7527.0,0.0,3435.0,1079.0,0.0,0.0,0.0,0.0
